Age;Gender;Marital Status;Occupation;Educational Qualifications;Income Category;Monthly Income;Family size;latitude;longitude;Pin code;Output;Feedback
30;Male;Married;Self Employeed;Uneducated;Wealthy;More than 50000;4;129.662;776.068;560025;Yes;Negative 
23;Male;Single;Student;Graduate;Unknown;No Income;3;129.565;775.484;560026;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;4;129.925;775.633;560021;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;5;12.985;775.533;560010;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;5;12.985;775.533;560010;Yes;Positive
27;Female;Married;Self Employeed;Post Graduate;Medium;10001 to 25000;2;129.261;776.221;560034;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;12.977;775.773;560009;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;3;12.982;776.256;560008;Yes;Negative 
22;Female;Single;Student;Post Graduate;Medium;10001 to 25000;5;12.985;775.533;560010;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;5;130.206;776.479;560043;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;12.977;775.773;560009;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.635;775.821;560002;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;3;129.306;775.434;560085;Yes;Positive
28;Female;Married;Student;Graduate;Unknown;No Income;2;130.067;77.545;560086;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;1;128.845;776.036;560076;Yes;Positive
24;Female;Single;Student;Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
31;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;5;129.119;776.446;560102;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;4;130.067;77.545;560086;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;5;128.988;775.764;560078;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;3;128.845;776.036;560076;Yes;Positive
23;Male;Single;Student;Post Graduate;High;25001 to 50000;1;130.158;77.539;560096;Yes;Positive
23;Male;Single;Student;Graduate;Unknown;No Income;4;129.343;776.044;560029;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;130.019;775.713;560003;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;6;130.012;775.995;560046;Yes;Positive
24;Male;Single;Employee;Graduate;Medium;10001 to 25000;4;129.442;776.076;560030;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
24;Female;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;4;129.438;775.738;560004;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;4;129.889;775.741;560020;Yes;Positive
24;Female;Single;Student;Post Graduate;Medium;10001 to 25000;3;129.335;775.691;560028;No;Positive
25;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.766;775.993;560001;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;128.845;776.036;560076;Yes;Positive
26;Male;Single;Student;Post Graduate;Unknown;No Income;4;130.019;775.713;560003;Yes;Positive
24;Female;Single;Student;Post Graduate;High;25001 to 50000;3;13.102;775.864;560064;Yes;Positive
26;Male;Single;Student;Post Graduate;Unknown;No Income;4;129.048;776.821;560036;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;4;12.977;775.773;560009;Yes;Positive
22;Female;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;5;129.337;77.59;560011;Yes;Positive
24;Male;Single;Student;Post Graduate;Medium;10001 to 25000;4;129.037;775.376;560061;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;129.343;776.044;560029;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;3;129.438;775.738;560004;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;4;129.783;776.408;560038;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;5;129.337;77.59;560011;Yes;Positive
25;Male;Single;Student;Graduate;Unknown;No Income;1;12.977;775.773;560009;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;5;12.977;775.773;560009;No;Positive
28;Male;Married;Self Employeed;Graduate;Medium;10001 to 25000;2;130.289;77.54;560022;No;Negative 
27;Female;Prefer not to say;Employee;Post Graduate;High;25001 to 50000;5;130.289;77.54;560022;No;Positive
26;Male;Single;Self Employeed;Doctor of Philosophy;Medium;10001 to 25000;1;129.698;77.75;560066;No;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;2;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;1;129.561;775.921;560027;Yes;Positive
25;Male;Single;Student;Graduate;Unknown;No Income;1;12.977;775.773;560009;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;5;130.206;776.479;560043;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;5;130.206;776.479;560043;Yes;Positive
26;Male;Married;Employee;Graduate;High;25001 to 50000;5;129.579;776.309;560007;No;Positive
32;Female;Married;House wife;Uneducated;Unknown;No Income;3;13.014;775.658;560012;No;Positive
24;Female;Single;Student;Post Graduate;Medium;10001 to 25000;3;129.335;775.691;560028;No;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.442;776.076;560030;Yes;Positive
22;Female;Single;Employee;Graduate;Medium;10001 to 25000;3;129.698;77.75;560066;Yes;Positive
24;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;3;129.438;775.738;560004;Yes;Positive
26;Male;Single;Employee;Graduate;High;25001 to 50000;2;129.261;776.221;560034;Yes;Negative 
28;Male;Married;Employee;Graduate;Wealthy;More than 50000;3;129.698;77.75;560066;No;Positive
26;Male;Single;Employee;Post Graduate;Wealthy;More than 50000;2;129.698;77.75;560066;No;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;1;129.343;776.044;560029;Yes;Positive
25;Male;Single;Employee;Graduate;Low;Below Rs.10000;2;129.698;77.75;560066;No;Positive
18;Male;Single;Student;Graduate;Unknown;No Income;5;129.635;775.821;560002;Yes;Positive
21;Male;Single;Student;Post Graduate;Unknown;No Income;4;12.977;775.773;560009;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;1;129.343;776.044;560029;Yes;Positive
25;Male;Single;Student;Post Graduate;Low;Below Rs.10000;2;129.925;775.633;560021;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;5;130.206;776.479;560043;Yes;Positive
23;Male;Single;Employee;Post Graduate;Medium;10001 to 25000;2;12.985;775.533;560010;Yes;Positive
25;Female;Married;Employee;Graduate;High;25001 to 50000;4;129.551;776.593;560017;No;Negative 
31;Female;Married;House wife;School;Unknown;No Income;5;130.289;77.54;560022;Yes;Positive
24;Male;Prefer not to say;Self Employeed;Doctor of Philosophy;Wealthy;More than 50000;2;130.138;775.877;560006;No;Positive
32;Female;Married;Employee;Graduate;High;25001 to 50000;5;129.261;776.221;560034;Yes;Positive
25;Male;Single;Employee;Graduate;High;25001 to 50000;3;129.766;775.993;560001;Yes;Positive
27;Female;Married;Self Employeed;Graduate;Wealthy;More than 50000;5;129.766;775.993;560001;No;Positive
26;Male;Single;Self Employeed;Graduate;High;25001 to 50000;3;129.766;775.993;560001;Yes;Positive
26;Female;Single;Self Employeed;Post Graduate;High;25001 to 50000;3;129.635;775.821;560002;Yes;Positive
32;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;5;129.635;775.821;560002;Yes;Negative 
24;Male;Married;Self Employeed;Doctor of Philosophy;Wealthy;More than 50000;6;129.635;775.821;560002;No;Negative 
27;Female;Married;Self Employeed;Graduate;High;25001 to 50000;3;129.635;775.821;560002;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
25;Male;Single;Student;Post Graduate;Unknown;No Income;4;12.977;775.773;560009;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;12.977;775.773;560009;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
28;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;3;130.019;775.713;560003;Yes;Positive
32;Female;Married;Employee;Graduate;Wealthy;More than 50000;1;130.019;775.713;560003;No;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;130.019;775.713;560003;Yes;Positive
19;Male;Single;Student;Graduate;Unknown;No Income;2;130.019;775.713;560003;No;Negative 
19;Female;Single;Student;Graduate;Unknown;No Income;4;129.537;776.176;560047;Yes;Positive
27;Female;Married;Employee;Post Graduate;High;25001 to 50000;2;129.698;77.75;560066;No;Positive
25;Male;Single;Self Employeed;Graduate;High;25001 to 50000;3;12.998;776.227;560005;Yes;Positive
33;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;5;12.998;776.227;560005;No;Negative 
26;Female;Single;Employee;Graduate;Wealthy;More than 50000;3;12.998;776.227;560005;Yes;Positive
22;Female;Single;Student;Post Graduate;Low;Below Rs.10000;4;129.343;776.044;560029;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;13.102;775.864;560064;No;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;3;130.158;77.539;560096;Yes;Negative 
25;Male;Married;Employee;Graduate;High;25001 to 50000;2;12.998;776.227;560005;Yes;Positive
30;Female;Married;House wife;School;Unknown;No Income;5;12.998;776.227;560005;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;3;130.138;775.877;560006;No;Negative 
25;Male;Single;Employee;Post Graduate;Medium;10001 to 25000;3;130.138;775.877;560006;Yes;Positive
23;Male;Single;Student;Post Graduate;Wealthy;More than 50000;3;12.977;775.773;560009;Yes;Positive
24;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.496;774.941;560073;Yes;Positive
32;Male;Married;Employee;Graduate;Medium;10001 to 25000;4;129.783;776.408;560038;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;4;129.889;775.741;560020;Yes;Positive
23;Male;Single;Student;Post Graduate;Wealthy;More than 50000;3;12.977;775.773;560009;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;2;129.579;776.309;560007;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;2;129.579;776.309;560007;Yes;Positive
24;Female;Married;Self Employeed;Graduate;Medium;10001 to 25000;5;129.579;776.309;560007;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
25;Male;Single;Employee;Post Graduate;High;25001 to 50000;3;12.985;775.533;560010;Yes;Positive
32;Female;Married;House wife;Graduate;Unknown;No Income;3;12.985;775.533;560010;Yes;Positive
27;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;5;12.985;775.533;560010;No;Negative 
20;Female;Single;Student;Graduate;Unknown;No Income;2;129.337;77.59;560011;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;2;129.337;77.59;560011;Yes;Positive
26;Male;Single;Employee;Post Graduate;Wealthy;More than 50000;3;129.337;77.59;560011;No;Negative 
25;Male;Single;Employee;Graduate;Medium;10001 to 25000;4;130.166;776.804;560016;Yes;Positive
26;Male;Single;Employee;Post Graduate;High;25001 to 50000;3;13.014;775.658;560012;Yes;Positive
26;Female;Married;Employee;Graduate;High;25001 to 50000;3;13.014;775.658;560012;Yes;Positive
27;Male;Single;Employee;Doctor of Philosophy;Wealthy;More than 50000;4;130.503;775.529;560013;No;Positive
27;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;5;130.503;775.529;560013;No;Negative 
24;Female;Single;Student;Post Graduate;Unknown;No Income;5;129.883;775.987;560051;Yes;Positive
25;Male;Married;Self Employeed;School;Wealthy;More than 50000;2;130.626;775.284;560015;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;2;130.626;775.284;560015;No;Negative 
22;Male;Single;Student;Post Graduate;Unknown;No Income;1;130.626;775.284;560015;Yes;Positive
26;Female;Married;Student;Doctor of Philosophy;Low;Below Rs.10000;3;130.166;776.804;560016;Yes;Positive
27;Male;Prefer not to say;Employee;Post Graduate;High;25001 to 50000;1;130.166;776.804;560016;Yes;Positive
25;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.551;776.593;560017;Yes;Positive
24;Male;Single;Employee;Graduate;Low;Below Rs.10000;2;129.551;776.593;560017;Yes;Positive
23;Female;Single;Employee;Graduate;Medium;10001 to 25000;6;129.551;776.593;560017;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;2;12.957;775.637;560018;No;Positive
26;Male;Married;Self Employeed;Post Graduate;Wealthy;More than 50000;3;12.957;775.637;560018;No;Negative 
26;Male;Single;Employee;Post Graduate;Low;Below Rs.10000;1;12.957;775.637;560018;Yes;Negative 
25;Female;Married;Self Employeed;Post Graduate;High;25001 to 50000;3;12.957;775.637;560018;No;Positive
29;Female;Married;Employee;Graduate;Wealthy;More than 50000;3;12.957;775.637;560018;No;Positive
23;Male;Single;Student;Graduate;Low;Below Rs.10000;3;128.652;77.524;560109;Yes;Negative 
22;Female;Single;Employee;Graduate;High;25001 to 50000;4;129.698;77.75;560066;Yes;Positive
22;Male;Single;Student;Graduate;Unknown;No Income;2;129.889;775.741;560020;No;Positive
32;Female;Married;House wife;School;Unknown;No Income;5;129.889;775.741;560020;Yes;Positive
28;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;1;129.925;775.633;560021;Yes;Positive
22;Male;Single;Student;Post Graduate;Unknown;No Income;2;12.977;775.773;560009;Yes;Positive
25;Male;Single;Employee;Graduate;Medium;10001 to 25000;2;129.757;775.586;560023;Yes;Positive
26;Female;Married;Employee;Post Graduate;High;25001 to 50000;2;129.757;775.586;560023;No;Negative 
31;Male;Married;Self Employeed;School;Wealthy;More than 50000;6;130.487;775.923;560024;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;3;130.487;775.923;560024;No;Negative 
24;Male;Single;Employee;Post Graduate;High;25001 to 50000;2;129.662;776.068;560025;Yes;Positive
31;Female;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;5;129.662;776.068;560025;Yes;Positive
26;Male;Single;Employee;Graduate;High;25001 to 50000;2;129.343;776.044;560029;Yes;Positive
24;Female;Married;Self Employeed;Graduate;Wealthy;More than 50000;2;129.343;776.044;560029;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;3;129.343;776.044;560029;Yes;Positive
19;Male;Single;Student;Graduate;Unknown;No Income;6;129.442;776.076;560030;Yes;Positive
25;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;6;129.442;776.076;560030;Yes;Positive
23;Female;Married;House wife;School;Unknown;No Income;6;129.442;776.076;560030;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;2;130.298;776.047;560032;No;Negative 
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.261;776.221;560034;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;5;129.621;775.376;560104;Yes;Positive
22;Female;Single;Employee;Graduate;High;25001 to 50000;4;128.845;776.036;560076;Yes;Positive
26;Male;Married;Employee;Graduate;Wealthy;More than 50000;4;129.048;776.821;560036;Yes;Positive
25;Female;Single;Student;Doctor of Philosophy;Unknown;No Income;3;129.048;776.821;560036;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;2;129.261;776.221;560034;Yes;Positive
29;Male;Married;Employee;Graduate;High;25001 to 50000;4;129.261;776.221;560034;No;Negative 
23;Female;Single;Student;Graduate;Unknown;No Income;1;12.977;775.773;560009;Yes;Positive
25;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;2;129.783;776.408;560038;Yes;Positive
29;Female;Married;Employee;Graduate;High;25001 to 50000;4;129.783;776.408;560038;No;Negative 
27;Male;Married;Self Employeed;Graduate;High;25001 to 50000;6;129.217;775.936;560041;No;Negative 
25;Male;Single;Self Employeed;Graduate;Medium;10001 to 25000;3;130.206;776.479;560043;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;2;130.012;775.995;560046;No;Negative 
23;Male;Single;Student;Graduate;Unknown;No Income;3;130.223;777.132;560049;Yes;Positive
24;Female;Single;Employee;Post Graduate;Medium;10001 to 25000;4;129.337;77.59;560011;Yes;Positive
32;Male;Married;Self Employeed;School;Medium;10001 to 25000;3;12.982;776.256;560008;Yes;Negative 
28;Male;Married;Employee;Post Graduate;High;25001 to 50000;5;130.262;77.62;560045;Yes;Positive
26;Male;Single;Employee;Graduate;Medium;10001 to 25000;2;129.217;775.936;560041;No;Negative 
31;Female;Married;House wife;Graduate;Unknown;No Income;5;130.078;775.577;560055;Yes;Positive
27;Female;Married;Self Employeed;Graduate;High;25001 to 50000;3;130.078;775.577;560055;Yes;Positive
21;Female;Single;Student;Post Graduate;Unknown;No Income;1;129.217;775.936;560041;Yes;Positive
23;Female;Single;Student;Graduate;Unknown;No Income;2;129.105;774.842;560060;No;Positive
26;Male;Married;Employee;Graduate;Medium;10001 to 25000;4;129.105;774.842;560060;No;Positive
32;Male;Married;Employee;Graduate;Wealthy;More than 50000;5;129.037;775.376;560061;Yes;Positive
25;Female;Married;Student;Post Graduate;Unknown;No Income;2;128.834;775.486;560062;Yes;Positive
28;Male;Single;Self Employeed;Post Graduate;Medium;10001 to 25000;2;129.149;775.635;560070;Yes;Positive
21;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.149;775.635;560070;Yes;Positive
24;Male;Single;Student;Post Graduate;Unknown;No Income;2;129.706;776.529;560075;Yes;Positive
26;Female;Married;Self Employeed;Graduate;Medium;10001 to 25000;5;129.706;776.529;560075;No;Negative 
32;Male;Married;Employee;Graduate;High;25001 to 50000;3;129.706;776.529;560075;Yes;Positive
29;Male;Single;Self Employeed;Graduate;Wealthy;More than 50000;6;128.845;776.036;560076;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;5;129.783;776.408;560038;Yes;Positive
24;Female;Single;Self Employeed;Post Graduate;High;25001 to 50000;3;130.103;775.796;560080;No;Negative 
26;Male;Prefer not to say;Self Employeed;Post Graduate;Wealthy;More than 50000;2;130.103;775.796;560080;Yes;Positive
25;Male;Married;Employee;Doctor of Philosophy;Wealthy;More than 50000;3;129.306;775.434;560085;Yes;Positive
29;Male;Single;Employee;Graduate;High;25001 to 50000;3;130.641;775.931;560092;No;Negative 
22;Male;Single;Student;Graduate;Unknown;No Income;3;130.158;77.539;560096;Yes;Positive
24;Male;Single;Student;Graduate;Unknown;No Income;2;129.561;775.921;560027;Yes;Positive
27;Male;Married;Employee;Graduate;High;25001 to 50000;2;128.845;776.036;560076;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;3;129.369;776.407;560095;No;Positive
32;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;6;129.369;776.407;560095;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;2;129.369;776.407;560095;Yes;Positive
28;Male;Married;Employee;Graduate;High;25001 to 50000;3;129.369;776.407;560095;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;2;130.158;77.539;560096;Yes;Positive
30;Male;Married;Self Employeed;Graduate;Wealthy;More than 50000;1;130.809;775.565;560097;No;Negative 
21;Male;Single;Student;Graduate;Unknown;No Income;3;130.641;775.931;560092;Yes;Positive
26;Female;Married;Employee;Graduate;Low;Below Rs.10000;6;129.859;776.713;560093;No;Negative 
25;Male;Single;Self Employeed;School;Wealthy;More than 50000;3;129.859;776.713;560093;Yes;Positive
31;Male;Prefer not to say;Employee;Graduate;Low;Below Rs.10000;1;129.866;774.904;560091;No;Negative 
23;Female;Single;Employee;Post Graduate;High;25001 to 50000;2;129.847;775.491;560100;Yes;Positive
29;Female;Married;Employee;Doctor of Philosophy;High;25001 to 50000;3;129.847;775.491;560100;Yes;Positive
21;Male;Single;Student;Graduate;Unknown;No Income;6;129.847;775.491;560100;Yes;Positive
20;Male;Single;Student;Graduate;Unknown;No Income;3;129.299;776.848;560103;Yes;Positive
22;Male;Single;Employee;Graduate;Medium;10001 to 25000;2;129.299;776.848;560103;Yes;Positive
30;Female;Married;House wife;School;Unknown;No Income;6;129.828;776.131;560042;No;Positive
27;Male;Married;Self Employeed;Graduate;Wealthy;More than 50000;3;12.989;775.332;560079;Yes;Positive
23;Male;Single;Student;Post Graduate;Unknown;No Income;2;12.977;775.773;560009;No;Negative 
30;Male;Married;Self Employeed;School;High;25001 to 50000;6;129.251;774.992;560059;No;Negative 
23;Male;Single;Student;Post Graduate;Unknown;No Income;3;129.967;777.582;560067;Yes;Positive
28;Female;Married;Employee;Post Graduate;High;25001 to 50000;6;129.967;777.582;560067;No;Negative 
30;Male;Married;Self Employeed;Graduate;Wealthy;More than 50000;6;129.967;777.582;560067;Yes;Positive
24;Female;Married;Employee;Post Graduate;High;25001 to 50000;2;12.957;775.637;560018;Yes;Negative 
21;Male;Single;Student;Graduate;Unknown;No Income;2;12.957;775.637;560018;No;Negative 
23;Female;Prefer not to say;Employee;Graduate;Medium;10001 to 25000;3;129.889;775.741;560020;No;Negative 
25;Male;Married;Self Employeed;Post Graduate;Wealthy;More than 50000;4;130.206;776.479;560043;Yes;Positive
24;Female;Single;Employee;Graduate;High;25001 to 50000;2;128.893;776.399;560068;Yes;Positive
26;Male;Married;Employee;Graduate;Medium;10001 to 25000;3;128.893;776.399;560068;No;Negative 
25;Female;Single;Employee;Post Graduate;High;25001 to 50000;2;129.967;777.582;560067;Yes;Positive
22;Male;Single;Student;Graduate;High;25001 to 50000;3;129.783;776.408;560038;Yes;Positive
26;Female;Single;Employee;Post Graduate;High;25001 to 50000;2;129.783;776.408;560038;Yes;Positive
23;Male;Single;Employee;Graduate;Medium;10001 to 25000;2;129.925;775.633;560021;Yes;Positive
21;Female;Single;Employee;Graduate;Low;Below Rs.10000;2;129.925;775.633;560021;No;Negative 
25;Male;Married;Self Employeed;Graduate;High;25001 to 50000;3;129.561;775.921;560027;Yes;Positive
24;Female;Married;Employee;Post Graduate;Medium;10001 to 25000;2;129.561;775.921;560027;Yes;Positive
22;Male;Married;Student;Graduate;Unknown;No Income;2;130.734;775.464;560014;Yes;Positive
23;Female;Single;Student;Post Graduate;Unknown;No Income;4;130.487;775.923;560024;Yes;Positive
24;Male;Married;Employee;Post Graduate;Wealthy;More than 50000;3;129.515;774.921;560056;Yes;Positive
22;Female;Single;Student;Graduate;Unknown;No Income;2;129.515;774.921;560056;Yes;Positive
30;Male;Married;Employee;Graduate;Wealthy;More than 50000;5;129.719;775.128;560072;No;Negative 
23;Female;Prefer not to say;Employee;Graduate;Medium;10001 to 25000;4;129.048;776.821;560036;Yes;Positive
19;Male;Single;Student;Graduate;Unknown;No Income;6;129.048;776.821;560036;Yes;Positive
21;Female;Single;Student;Graduate;Unknown;No Income;2;130.103;775.796;560080;Yes;Positive
